ID,postTime,nLike,prediction,probability
1554558086,20191107-091643,2,maraca, 22.828298807144165
5627622211,20191110-004033,4,crane, 61.39234900474548
5744575807,20191110-161949,11,cab, 20.176583528518677
7332256750,20190426-132815,446,bikini, 25.64949095249176
3513024647,20191108-222415,2,bakery, 32.62755274772644
309708108,20191110-165318,2,mailbox, 37.565723061561584
21503938174,20191110-181015,1,wine_bottle, 62.73334622383118
873653114,20191110-002811,3,gown, 25.40445327758789
7687924296,20191109-201117,2,coil, 69.67209577560425
13086090578,20191110-215305,1,web_site, 90.20757675170898
23316904293,20191108-231230,3,castle, 39.7951602935791
197716979,20191109-211531,8,chain_mail, 42.75843799114227
275977541,20191104-204529,186,triumphal_arch, 24.884748458862305
2182675342,20191110-120133,2,carbonara, 99.10070300102234
2110100252,20191109-232509,37,triumphal_arch, 95.30922174453735
8543374377,20191107-090339,1,jellyfish, 18.151646852493286
8189142750,20191108-192913,1,book_jacket, 39.1558051109314
13028519642,20191108-100846,2,stage, 33.83214771747589
6573935781,20191109-230354,3,web_site, 19.368281960487366
330826680,20191109-011605,2,church, 30.763626098632812
251398061,20191108-091146,2,crash_helmet, 54.627829790115356
10724642566,20191109-231454,2,jean, 36.8167906999588
7964977959,20191101-091559,273,palace, 31.21930956840515
6970733809,20191110-113750,1,brass, 47.29969799518585
11104837065,20191108-171432,11,web_site, 87.82541155815125
394166360,20191109-200107,4,plate, 71.75159454345703
180242252,20191110-101821,53,prison, 67.76210069656372
7424929738,20191108-110733,2,hoopskirt, 39.81766700744629
8479732939,20191109-233301,5,cup, 75.39751529693604
364558090,20181116-192348,484,vault, 79.0580153465271
1948456630,20191109-161848,1,bookshop, 21.938742697238922
410951906,20191110-175842,7,bookshop, 15.301904082298279
22098054480,20191110-214931,24,ski, 23.66555482149124
233002072,20191110-200636,9,prison, 92.01655387878418
13472959494,20191110-162016,1,holster, 41.628095507621765
6696823856,20191108-234442,4,hair_spray, 20.06583660840988
749254149,20191109-125135,3,Egyptian_cat, 42.727264761924744
641811242,20191110-171252,2,kimono, 27.945426106452942
21476587010,20191110-125624,3,microwave, 78.73178720474243
7855000370,20191110-214231,2,shoe_shop, 16.48184061050415
23786843549,20191106-180413,4,wing, 36.00567579269409
186930947,20191110-213007,22,Rottweiler, 15.83971232175827
2229994860,20191109-014152,1,malamute, 24.59464520215988
400185212,20191110-143953,2,lakeside, 15.006868541240692
1448545993,20191110-222220,153,castle, 69.8454201221466
278827430,20191110-205831,2,trench_coat, 19.505104422569275
4165395353,20191108-134814,1,candle, 31.814417243003845
8194545929,20191110-000710,6,bikini, 21.96253538131714
143938695,20191110-171536,2,miniskirt, 11.12118884921074
264833058,20191109-205509,1,fire_screen, 14.9735227227211
23212141952,20191105-223806,1,gong, 24.188241362571716
517374327,20191108-184728,2,thimble, 16.54161512851715
7681464019,20191107-204630,8,basketball, 36.227163672447205
1365492760,20191108-203922,2,mailbag, 16.185632348060608
5459467973,20191031-031110,137,park_bench, 18.880993127822876
188448896,20191108-121419,3,web_site, 32.23424553871155
7902927784,20191109-202057,23,envelope, 94.35997009277344
1484997697,20191110-212023,10,feather_boa, 20.459599792957306
3080072421,20191108-131057,1,stage, 77.25065350532532
575827769,20191106-201856,223,sweatshirt, 48.94261062145233
5459467973,20191031-031110,122,park_bench, 18.880993127822876
8426056651,20191109-162826,1,shower_cap, 27.615800499916077
7039694485,20191109-144032,2,purse, 41.02359414100647
8387413829,20191109-225320,24,rugby_ball, 88.9926016330719
1597424256,20191107-100250,1,menu, 10.998053848743439
2330583780,20191109-191739,2,cloak, 54.11766767501831
409638865,20190605-204500,1043,castle, 91.1813735961914
5542515814,20191107-111238,1,carbonara, 99.87097978591919
303071515,20191107-092839,2,palace, 77.52931714057922
7024418375,20191109-012556,1,altar, 53.55374813079834
3480924113,20191109-144055,1,pot, 16.482099890708923
16854328,20191108-205156,1,television, 69.02703046798706
308084347,20191111-000100,5,fountain, 52.028197050094604
49867053,20191110-203158,86,cloak, 35.420018434524536
8496709456,20191108-113121,1,scoreboard, 85.40266156196594
616164417,20191110-124210,21,palace, 32.600051164627075
1203375335,20191107-214834,1,dining_table, 25.824308395385742
2060892342,20191107-085405,4,window_shade, 78.61599922180176
886531187,20191110-110426,2,theater_curtain, 64.3516480922699
2202228992,20191107-114459,3,prison, 76.02251172065735
1424793259,20191110-173805,210,bearskin, 35.077500343322754
8189555159,20191110-154603,4,coffee_mug, 31.404811143875122
9495177608,20191108-175100,2,fountain, 49.27973747253418
6757443649,20191108-095859,1,web_site, 26.65587067604065
2218914117,20191110-171639,1,stole, 17.622752487659454
2204890786,20191108-115421,2,toyshop, 37.65723407268524
13625662197,20191110-125250,1,racket, 51.98173522949219
1939019105,20191108-233336,4,web_site, 30.402234196662903
4591839727,20191110-145838,317,lab_coat, 50.28168559074402
758279003,20191108-183631,2,web_site, 59.411877393722534
7585157080,20191107-084132,1,electric_guitar, 40.61082601547241
7874835405,20191108-102126,1,parallel_bars, 26.57822072505951
1432515446,20191108-143251,1,pretzel, 18.341197073459625
810227033,20191108-104221,1,solar_dish, 38.67792189121246
1471637964,20191110-180015,9,stage, 35.02413332462311
256315298,20191108-223757,2,chain, 20.560890436172485
9210252297,20191109-114226,1,harmonica, 9.998609125614166
6731330073,20191108-093557,3,fountain, 90.20612835884094
23208590681,20191107-112304,1,boathouse, 49.27067756652832
3897368200,20191109-223932,1,ringneck_snake, 8.948647230863571
2295317473,20191108-203216,19,hand_blower, 9.516861289739609
5518705762,20191110-121635,1,window_screen, 11.44789606332779
19579891272,20191107-101626,2,soccer_ball, 65.62370657920837
3042262605,20191109-155621,18,swimming_trunks, 78.32998037338257
18308654037,20191109-204325,1,football_helmet, 53.860318660736084
9620267087,20191108-164147,2,maillot, 13.525095582008362
214481886,20191107-221307,2,trench_coat, 57.69605040550232
2939634983,20191108-082411,2,book_jacket, 68.49480867385864
642937496,20181201-144604,724,abaya, 26.17318630218506
4966218343,20191110-163137,2,chain_saw, 25.34073293209076
11072441457,20191107-114702,1,web_site, 24.83934313058853
489012738,20191109-201058,2,running_shoe, 11.175897717475891
8262232578,20191107-113335,2,honeycomb, 70.73732018470764
6193531114,20191108-175026,1,horizontal_bar, 27.641740441322327
5903283881,20191108-230106,2,jean, 12.062766402959824
1050704901,20190417-182207,253,seat_belt, 63.686251640319824
17832426230,20191109-172244,1,web_site, 56.53982758522034
1522123717,20191109-012102,3,bubble, 99.99779462814331
4403329171,20191107-202643,3,palace, 59.40548777580261
1292319538,20191108-095557,1,harp, 19.21343356370926
274679932,20191107-223928,19,seashore, 14.57517296075821
8271479528,20191110-003805,4,groom, 18.311429023742676
1176852268,20191109-160738,3,burrito, 19.660940766334534
4531761658,20191110-213123,6,barbershop, 31.88498020172119
11861104405,20191108-193907,2,plate, 37.147173285484314
36270032,20191110-121158,3,neck_brace, 31.07503056526184
23826520037,20191109-225117,1,beer_glass, 20.886148512363434
6525095739,20191110-234140,7,envelope, 41.55021905899048
7159139916,20191110-223225,38,palace, 94.27793025970459
23786843549,20191106-180903,3,altar, 72.48140573501587
336555559,20191110-195640,1,dial_telephone, 49.432143568992615
10347552749,20191108-231018,6,envelope, 32.741978764534
211121540,20191109-153536,1,brassiere, 25.141531229019165
1730656809,20191110-125325,6,web_site, 98.33235144615173
1359185232,20191110-163050,11,parking_meter, 14.633138477802277
15203541266,20191109-214755,6,clog, 12.328614294528961
364066571,20191107-185709,47,cab, 94.02593970298767
29501270,20191107-221209,47,miniskirt, 29.411932826042175
2290029303,20191110-113645,3,Mexican_hairless, 64.24517631530762
201504812,20191108-121449,9,wall_clock, 21.763190627098083
8215002256,20191109-141825,1,kimono, 75.8771002292633
18051605108,20191108-230823,3,cab, 94.74913477897644
12604144310,20191110-104023,2,bakery, 40.79492390155792
6927445674,20191107-221237,1,submarine, 79.28626537322998
1137008097,20191110-195730,3,seashore, 16.966871917247772
5573281863,20191109-192821,2,cardigan, 42.241740226745605
1578271159,20191109-161628,2,bikini, 41.10710322856903
19487855,20191110-103026,120,torch, 9.359771013259888
811005211,20191109-195705,11,harmonica, 19.927451014518738
3287528313,20191108-202815,2,cellular_telephone, 18.9071387052536
49982295,20191109-165215,1,stage, 26.622137427330017
2228417453,20191108-233505,1,quill, 77.89422869682312
1046412812,20191107-114513,35,minivan, 10.706595331430435
5332892629,20191110-131801,1,thimble, 84.47617292404175
1533246599,20191109-110841,11,window_shade, 96.94665670394897
409638865,20190706-210636,847,jinrikisha, 37.2965931892395
2238923645,20191107-114057,20,web_site, 16.62852168083191
7205039057,20191108-182510,1,tench, 99.11487102508545
673601575,20191109-160408,20,gondola, 29.741451144218445
6999613878,20191110-124426,5,wing, 89.4711434841156
11579727511,20191110-105407,3,apron, 41.27508997917175
5804759033,20181217-122223,607,bell_cote, 47.95942008495331
253681602,20191021-215708,16,tray, 46.87938392162323
2958584689,20190629-180245,314,sunglasses, 69.92822289466858
7805578549,20191109-210509,3,patio, 52.35747694969177
6025363583,20191107-110045,2,apron, 64.7592842578888
20757316183,20191107-221102,2,soccer_ball, 55.77720403671265
