,ID,hashtag,prediction
1240,850102761.0,STARBUCKS,espresso
1241,9913076644.0,STARBUCKS,bucket
1244,10667871699.0,STARBUCKS,ice_cream
1248,11213765468.0,STARBUCKS,espresso
1251,145553203.0,STARBUCKS,web_site
1263,24837043896.0,STARBUCKS,espresso
1273,4236020160.0,STARBUCKS,coffee_mug
1280,8604937684.0,STARBUCKS,wig
1281,1018755875.0,STARBUCKS,coffee_mug
1283,11115938714.0,STARBUCKS,espresso
1288,15780811241.0,STARBUCKS,cup
1297,24116830591.0,STARBUCKS,web_site
1298,24767153146.0,STARBUCKS,packet
1302,3296181806.0,STARBUCKS,web_site
1303,3402304152.0,STARBUCKS,espresso
1309,5560074349.0,STARBUCKS,coffee_mug
1314,8545845086.0,STARBUCKS,Christmas_stocking
1315,8604937684.0,STARBUCKS,wig
1316,959342.0,STARBUCKS,coffee_mug
1320,11837806577.0,STARBUCKS,ice_cream
1321,1272538471.0,STARBUCKS,espresso
1325,15172487423.0,STARBUCKS,web_site
1326,1551017349.0,STARBUCKS,eggnog
1327,1562325126.0,STARBUCKS,ice_cream
1328,18098563609.0,STARBUCKS,web_site
1333,2175028315.0,STARBUCKS,cup
1336,25037137838.0,STARBUCKS,ice_cream
1341,3038057126.0,STARBUCKS,espresso
1344,3451531840.0,STARBUCKS,cup
1346,3465498986.0,STARBUCKS,coffee_mug
1348,5326683745.0,STARBUCKS,packet
1353,7302007418.0,STARBUCKS,bucket
1362,1358179476.0,STARBUCKS,packet
1370,1972215113.0,STARBUCKS,Christmas_stocking
1371,2046209897.0,STARBUCKS,ice_cream
1372,2070251325.0,STARBUCKS,coffee_mug
1375,2188467284.0,STARBUCKS,eggnog
1383,3041997128.0,STARBUCKS,coffee_mug
1385,3953090966.0,STARBUCKS,packet
1386,4345304902.0,STARBUCKS,Christmas_stocking
1391,8578769580.0,STARBUCKS,web_site
1392,863916908.0,STARBUCKS,bucket
1395,10001221339.0,STARBUCKS,coffee_mug
1402,1325092092.0,STARBUCKS,espresso
1412,2005298944.0,STARBUCKS,ice_cream
1416,2946015943.0,STARBUCKS,packet
1419,42312187.0,STARBUCKS,wig
1422,4929798880.0,STARBUCKS,ice_cream
1425,5767691956.0,STARBUCKS,coffee_mug
1429,7363272012.0,STARBUCKS,Christmas_stocking
1432,1233316703.0,STARBUCKS,ice_cream
1434,1595012355.0,STARBUCKS,coffee_mug
1436,17226149678.0,STARBUCKS,Christmas_stocking
1437,1747473225.0,STARBUCKS,eggnog
1443,21246790713.0,STARBUCKS,bucket
1449,2977195213.0,STARBUCKS,cup
1450,310556808.0,STARBUCKS,coffee_mug
1453,3430764290.0,STARBUCKS,cup
1455,402770250.0,STARBUCKS,espresso
1459,6163562404.0,STARBUCKS,eggnog
1460,632726986.0,STARBUCKS,eggnog
1462,674454061.0,STARBUCKS,web_site
1464,7536518767.0,STARBUCKS,wig
1467,9631557943.0,STARBUCKS,ice_cream
1468,1117560925.0,STARBUCKS,espresso
1470,1233316703.0,STARBUCKS,ice_cream
1472,1304552752.0,STARBUCKS,web_site
1473,1422397893.0,STARBUCKS,Christmas_stocking
1474,1595012355.0,STARBUCKS,coffee_mug
1475,1595012355.0,STARBUCKS,coffee_mug
1476,1595012355.0,STARBUCKS,coffee_mug
1477,1595012355.0,STARBUCKS,coffee_mug
1487,24833020681.0,STARBUCKS,web_site
1493,4821856092.0,STARBUCKS,packet
1499,6200506457.0,STARBUCKS,bucket
1504,11384442979.0,STARBUCKS,coffee_mug
1507,11837806577.0,STARBUCKS,ice_cream
1511,16656361.0,STARBUCKS,eggnog
1524,2957339406.0,STARBUCKS,Christmas_stocking
1525,3005592544.0,STARBUCKS,espresso
1529,7519480665.0,STARBUCKS,espresso
1531,8604937684.0,STARBUCKS,wig
1532,8604937684.0,STARBUCKS,wig
1533,8604937684.0,STARBUCKS,wig
1534,8621588597.0,STARBUCKS,Christmas_stocking
1537,1233316703.0,STARBUCKS,ice_cream
1545,2049534920.0,STARBUCKS,cup
1549,252466740.0,STARBUCKS,packet
1552,367047105.0,STARBUCKS,cup
1558,45181729.0,STARBUCKS,coffee_mug
1561,5968071695.0,STARBUCKS,packet
1562,613761212.0,STARBUCKS,bucket
1568,8933501641.0,STARBUCKS,eggnog
1570,145464747.0,STARBUCKS,web_site
1586,3979641827.0,STARBUCKS,cup
1588,548555255.0,STARBUCKS,packet
1589,5506148439.0,STARBUCKS,Christmas_stocking
1590,570719107.0,STARBUCKS,Christmas_stocking
1591,5716804.0,STARBUCKS,eggnog
1595,657720564.0,STARBUCKS,packet
1602,1200894728.0,STARBUCKS,Christmas_stocking
1603,13132183683.0,STARBUCKS,Christmas_stocking
1611,240922436.0,STARBUCKS,eggnog
1613,24539100002.0,STARBUCKS,bucket
1614,3115245116.0,STARBUCKS,bucket
1617,3622479911.0,STARBUCKS,packet
1620,4481469837.0,STARBUCKS,ice_cream
1624,5595806447.0,STARBUCKS,wig
1627,6833857993.0,STARBUCKS,cup
1631,10186189524.0,STARBUCKS,eggnog
1636,1684918691.0,STARBUCKS,ice_cream
1639,212773889.0,STARBUCKS,cup
1642,24846003653.0,STARBUCKS,web_site
1653,4607204235.0,STARBUCKS,espresso
1657,633067014.0,STARBUCKS,coffee_mug
1662,1133240364.0,STARBUCKS,ice_cream
1674,24979134710.0,STARBUCKS,cup
1680,4005690098.0,STARBUCKS,web_site
1681,4133767546.0,STARBUCKS,web_site
1684,5352822041.0,STARBUCKS,web_site
1686,5428399639.0,STARBUCKS,ice_cream
1687,6046695905.0,STARBUCKS,bucket
1693,1094810335.0,STARBUCKS,packet
1699,1601547093.0,STARBUCKS,eggnog
1703,17621260668.0,STARBUCKS,ice_cream
1716,6957216669.0,STARBUCKS,espresso
1720,8077301515.0,STARBUCKS,cup
1721,8425885903.0,STARBUCKS,web_site
1728,21969335874.0,STARBUCKS,eggnog
1731,22594126876.0,STARBUCKS,packet
1732,23703817167.0,STARBUCKS,cup
1735,284076965.0,STARBUCKS,bucket
1737,3229319366.0,STARBUCKS,espresso
1743,4108342873.0,STARBUCKS,web_site
1745,450241921.0,STARBUCKS,eggnog
1747,570394271.0,STARBUCKS,coffee_mug
1749,6955883500.0,STARBUCKS,eggnog
1750,7198894190.0,STARBUCKS,coffee_mug
1753,9185883110.0,STARBUCKS,bucket
1757,11525162078.0,STARBUCKS,Christmas_stocking
1760,1453192413.0,STARBUCKS,wig
1764,18607159175.0,STARBUCKS,Christmas_stocking
1765,19451982151.0,STARBUCKS,coffee_mug
1766,20185654194.0,STARBUCKS,ice_cream
1771,24979919.0,STARBUCKS,ice_cream
1772,2691817416.0,STARBUCKS,bucket
